0,-0.0077872,6.4122e-17
0.03003,-0.0078216,-0.029623
0.06006,-0.0078309,-0.05915
0.09009,-0.0078148,-0.088489
0.12012,-0.007773,-0.11754
0.15015,-0.0077054,-0.14622
0.18018,-0.0076118,-0.17443
0.21021,-0.0074923,-0.20208
0.24024,-0.007347,-0.22909
0.27027,-0.007176,-0.25536
0.3003,-0.0069795,-0.28081
0.33033,-0.0067578,-0.30536
0.36036,-0.0065115,-0.32894
0.39039,-0.006241,-0.35146
0.42042,-0.0059469,-0.37285
0.45045,-0.0056298,-0.39305
0.48048,-0.0052906,-0.41199
0.51051,-0.00493,-0.42961
0.54054,-0.004549,-0.44586
0.57057,-0.0041486,-0.46068
0.6006,-0.0037298,-0.47402
0.63063,-0.0032938,-0.48584
0.66066,-0.0028418,-0.49611
0.69069,-0.0023751,-0.50479
0.72072,-0.001895,-0.51185
0.75075,-0.0014029,-0.51727
0.78078,-0.0009003,-0.52103
0.81081,-0.00038868,-0.52313
0.84084,0.00013038,-0.52355
0.87087,0.00065529,-0.52229
0.9009,0.0011844,-0.51936
0.93093,0.0017161,-0.51476
0.96096,0.0022485,-0.50852
0.99099,0.0027801,-0.50065
1.021,0.0033091,-0.49117
1.0511,0.0038336,-0.48012
1.0811,0.004352,-0.46753
1.1111,0.0048625,-0.45345
1.1411,0.0053633,-0.43791
1.1712,0.0058527,-0.42097
1.2012,0.006329,-0.40268
1.2312,0.0067903,-0.3831
1.2613,0.0072351,-0.3623
1.2913,0.0076617,-0.34033
1.3213,0.0080685,-0.31728
1.3514,0.0084539,-0.2932
1.3814,0.0088164,-0.26819
1.4114,0.0091546,-0.24232
1.4414,0.009467,-0.21567
1.4715,0.0097523,-0.18833
1.5015,0.010009,-0.16039
1.5315,0.010237,-0.13194
1.5616,0.010434,-0.10306
1.5916,0.010599,-0.073849
1.6216,0.010732,-0.044404
1.6517,0.010831,-0.014817
1.6817,0.010896,0.014817
1.7117,0.010927,0.044404
1.7417,0.010922,0.073849
1.7718,0.010882,0.10306
1.8018,0.010805,0.13194
1.8318,0.010693,0.16039
1.8619,0.010544,0.18833
1.8919,0.010359,0.21567
1.9219,0.010139,0.24232
1.952,0.0098821,0.26819
1.982,0.0095903,0.2932
2.012,0.0092637,0.31728
2.042,0.008903,0.34033
2.0721,0.0085089,0.3623
2.1021,0.0080823,0.3831
2.1321,0.0076242,0.40268
2.1622,0.0071357,0.42097
2.1922,0.006618,0.43791
2.2222,0.0060726,0.45345
2.2523,0.0055007,0.46753
2.2823,0.004904,0.48012
2.3123,0.0042842,0.49117
2.3423,0.0036428,0.50065
2.3724,0.0029819,0.50852
2.4024,0.0023032,0.51476
2.4324,0.0016089,0.51936
2.4625,0.0009009,0.52229
2.4925,0.00018141,0.52355
2.5225,-0.00054736,0.52313
2.5526,-0.0012832,0.52103
2.5826,-0.0020237,0.51727
2.6126,-0.0027665,0.51185
2.6426,-0.0035093,0.50479
