0,-0.025855,9.6184e-17
0.010025,-0.026164,-0.012367
0.02005,-0.026471,-0.024732
0.030075,-0.026775,-0.03709
0.0401,-0.027075,-0.049439
0.050125,-0.027372,-0.061776
0.06015,-0.027666,-0.074097
0.070175,-0.027955,-0.0864
0.080201,-0.028241,-0.098682
0.090226,-0.028522,-0.11094
0.10025,-0.028799,-0.12317
0.11028,-0.029071,-0.13537
0.1203,-0.029338,-0.14753
0.13033,-0.0296,-0.15966
0.14035,-0.029857,-0.17175
0.15038,-0.030108,-0.1838
0.1604,-0.030353,-0.1958
0.17043,-0.030592,-0.20775
0.18045,-0.030824,-0.21965
0.19048,-0.03105,-0.2315
0.2005,-0.03127,-0.24329
0.21053,-0.031482,-0.25502
0.22055,-0.031687,-0.26668
0.23058,-0.031884,-0.27828
0.2406,-0.032073,-0.28981
0.25063,-0.032254,-0.30127
0.26065,-0.032427,-0.31266
0.27068,-0.032591,-0.32396
0.2807,-0.032747,-0.33519
0.29073,-0.032892,-0.34633
0.30075,-0.033029,-0.35739
0.31078,-0.033155,-0.36836
0.3208,-0.033272,-0.37924
0.33083,-0.033378,-0.39002
0.34085,-0.033474,-0.4007
0.35088,-0.033558,-0.41129
0.3609,-0.033631,-0.42178
0.37093,-0.033693,-0.43216
0.38095,-0.033742,-0.44243
0.39098,-0.03378,-0.45259
0.401,-0.033805,-0.46265
0.41103,-0.033817,-0.47258
0.42105,-0.033816,-0.4824
0.43108,-0.033802,-0.4921
0.4411,-0.033773,-0.50168
0.45113,-0.033731,-0.51113
0.46115,-0.033674,-0.52046
0.47118,-0.033603,-0.52966
0.4812,-0.033516,-0.53872
0.49123,-0.033414,-0.54766
0.50125,-0.033296,-0.55645
0.51128,-0.033162,-0.56511
0.5213,-0.033012,-0.57363
0.53133,-0.032845,-0.58201
0.54135,-0.03266,-0.59024
0.55138,-0.032459,-0.59832
0.5614,-0.032239,-0.60626
0.57143,-0.032001,-0.61405
0.58145,-0.031745,-0.62168
0.59148,-0.03147,-0.62916
0.6015,-0.031176,-0.63649
0.61153,-0.030862,-0.64366
0.62155,-0.030528,-0.65066
0.63158,-0.030174,-0.65751
0.6416,-0.029799,-0.66419
0.65163,-0.029404,-0.67071
0.66165,-0.028987,-0.67706
0.67168,-0.028548,-0.68325
0.6817,-0.028087,-0.68926
0.69173,-0.027604,-0.6951
0.70175,-0.027099,-0.70077
0.71178,-0.02657,-0.70627
0.7218,-0.026018,-0.71159
0.73183,-0.025441,-0.71674
0.74185,-0.024841,-0.72171
0.75188,-0.024217,-0.7265
0.7619,-0.023567,-0.73111
0.77193,-0.022892,-0.73553
0.78195,-0.022192,-0.73978
0.79198,-0.021466,-0.74384
0.80201,-0.020714,-0.74772
0.81203,-0.019935,-0.75141
0.82206,-0.019129,-0.75492
0.83208,-0.018296,-0.75823
0.84211,-0.017435,-0.76137
0.85213,-0.016547,-0.76431
0.86216,-0.01563,-0.76706
0.87218,-0.014685,-0.76962
0.88221,-0.013711,-0.77199
0.89223,-0.012708,-0.77417
0.90226,-0.011675,-0.77616
0.91228,-0.010612,-0.77795
0.92231,-0.0095198,-0.77956
0.93233,-0.0083968,-0.78097
0.94236,-0.0072432,-0.78218
0.95238,-0.0060585,-0.7832
0.96241,-0.0048427,-0.78403
0.97243,-0.0035952,-0.78466
0.98246,-0.002316,-0.7851
0.99248,-0.0010047,-0.78534
1.0025,0.00033895,-0.78539
1.0125,0.0017152,-0.78525
1.0226,0.0031242,-0.78491
1.0326,0.0045664,-0.78437
1.0426,0.0060418,-0.78364
1.0526,0.0075508,-0.78272
1.0627,0.0090935,-0.7816
1.0727,0.01067,-0.78029
1.0827,0.012281,-0.77878
1.0927,0.013926,-0.77708
1.1028,0.015606,-0.77519
1.1128,0.01732,-0.77311
1.1228,0.019069,-0.77083
1.1328,0.020854,-0.76836
1.1429,0.022673,-0.76571
1.1529,0.024528,-0.76286
1.1629,0.026418,-0.75982
1.1729,0.028344,-0.7566
1.183,0.030305,-0.75319
1.193,0.032302,-0.74959
1.203,0.034335,-0.7458
1.213,0.036403,-0.74183
1.2231,0.038508,-0.73768
1.2331,0.040649,-0.73334
1.2431,0.042825,-0.72882
1.2531,0.045038,-0.72413
1.2632,0.047286,-0.71925
1.2732,0.04957,-0.71419
1.2832,0.051891,-0.70896
1.2932,0.054247,-0.70355
1.3033,0.056639,-0.69796
1.3133,0.059067,-0.6922
1.3233,0.06153,-0.68627
1.3333,0.064029,-0.68017
1.3434,0.066563,-0.67391
1.3534,0.069133,-0.66747
1.3634,0.071738,-0.66087
1.3734,0.074377,-0.65411
1.3835,0.077052,-0.64718
1.3935,0.079761,-0.64009
1.4035,0.082504,-0.63285
1.4135,0.085281,-0.62544
1.4236,0.088092,-0.61789
1.4336,0.090936,-0.61017
1.4436,0.093814,-0.60231
1.4536,0.096724,-0.5943
1.4637,0.099666,-0.58614
1.4737,0.10264,-0.57784
1.4837,0.10565,-0.56939
1.4937,0.10868,-0.5608
1.5038,0.11175,-0.55207
1.5138,0.11485,-0.54321
1.5238,0.11798,-0.53421
1.5338,0.12114,-0.52507
1.5439,0.12432,-0.51581
1.5539,0.12754,-0.50642
1.5639,0.13078,-0.49691
1.5739,0.13405,-0.48727
1.584,0.13735,-0.47751
1.594,0.14067,-0.46763
1.604,0.14401,-0.45763
1.614,0.14738,-0.44753
1.6241,0.15078,-0.43731
1.6341,0.15419,-0.42698
1.6441,0.15763,-0.41655
1.6541,0.16109,-0.40601
1.6642,0.16457,-0.39537
1.6742,0.16807,-0.38464
